date,game,owners_range,price_cents,initialprice_cents,discount_percent,positive_reviews,negative_reviews,top_tags
2026-06-28,PUBG: BATTLEGROUNDS,"100,000,000 .. 200,000,000",0,0,0,1520457,1037487,"[""Survival"", ""Shooter"", ""Battle Royale"", ""Multiplayer"", ""FPS""]"
2026-06-28,ELDEN RING NIGHTREIGN,"2,000,000 .. 5,000,000",2999,3999,25,48901,16771,"[""Souls-like"", ""Online Co-Op"", ""Rogue-like"", ""Multiplayer"", ""Singleplayer""]"
2026-06-28,Rust,"20,000,000 .. 50,000,000",1999,3999,50,1071135,156649,"[""Survival"", ""Crafting"", ""Multiplayer"", ""Open World"", ""Open World Survival Craft""]"
2026-06-28,Apex Legends,"100,000,000 .. 200,000,000",0,0,0,668053,326926,"[""Free to Play"", ""Battle Royale"", ""Multiplayer"", ""FPS"", ""Shooter""]"
2026-06-28,Wallpaper Engine,"20,000,000 .. 50,000,000",399,499,20,876898,17560,"[""Mature"", ""Utilities"", ""Anime"", ""Software"", ""Design & Illustration""]"
2026-06-28,NARAKA: BLADEPOINT,"10,000,000 .. 20,000,000",0,0,0,225960,98967,"[""Battle Royale"", ""Multiplayer"", ""Martial Arts"", ""Mature"", ""PvP""]"
2026-06-28,Dead by Daylight,"20,000,000 .. 50,000,000",799,1999,60,630223,166993,"[""Horror"", ""Multiplayer"", ""Survival Horror"", ""Online Co-Op"", ""Co-op""]"
2026-06-28,Crosshair X,"2,000,000 .. 5,000,000",99,199,50,29275,2077,"[""Action"", ""Indie"", ""Adventure"", ""Utilities"", ""Shooter""]"
2026-06-28,DayZ,"10,000,000 .. 20,000,000",2499,4999,50,330349,99903,"[""Survival"", ""Open World"", ""Online Co-Op"", ""Zombies"", ""Multiplayer""]"
2026-06-28,R.E.P.O.,"10,000,000 .. 20,000,000",649,999,35,179154,6488,"[""Horror"", ""Online Co-Op"", ""Multiplayer"", ""Comedy"", ""Co-op""]"
2026-06-28,Don't Starve Together,"10,000,000 .. 20,000,000",149,1499,90,475393,23668,"[""Survival"", ""Open World Survival Craft"", ""Multiplayer"", ""Co-op"", ""Open World""]"
2026-06-28,Left 4 Dead 2,"50,000,000 .. 100,000,000",999,999,0,940221,23762,"[""Zombies"", ""Co-op"", ""FPS"", ""Multiplayer"", ""Shooter""]"
2026-06-28,Terraria,"20,000,000 .. 50,000,000",499,999,50,1373979,35494,"[""Open World Survival Craft"", ""Sandbox"", ""Survival"", ""2D"", ""Multiplayer""]"
2026-06-28,Project Zomboid,"10,000,000 .. 20,000,000",1339,1999,33,355171,21892,"[""Survival"", ""Zombies"", ""Open World"", ""Multiplayer"", ""Open World Survival Craft""]"
2026-06-28,ARK: Survival Evolved,"20,000,000 .. 50,000,000",989,1499,34,612177,117993,"[""Open World Survival Craft"", ""Survival"", ""Multiplayer"", ""Open World"", ""Dinosaurs""]"
2026-06-28,RimWorld,"5,000,000 .. 10,000,000",2799,3499,20,206216,4301,"[""Colony Sim"", ""Base-Building"", ""Survival"", ""Strategy"", ""Sandbox""]"
2026-06-28,Palworld,"50,000,000 .. 100,000,000",2099,2999,30,358266,22443,"[""Open World"", ""Survival"", ""Creature Collector"", ""Multiplayer"", ""Open World Survival Craft""]"
2026-06-28,7 Days to Die,"10,000,000 .. 20,000,000",2474,4499,45,327889,42157,"[""Survival"", ""Zombies"", ""Multiplayer"", ""Open World"", ""Open World Survival Craft""]"
2026-06-28,Factorio,"5,000,000 .. 10,000,000",3500,3500,0,208770,6439,"[""Automation"", ""Base-Building"", ""Resource Management"", ""Sandbox"", ""Crafting""]"
2026-06-28,Soundpad,"2,000,000 .. 5,000,000",499,499,0,84918,3466,"[""Utilities"", ""Audio Production"", ""Music"", ""Software"", ""NSFW""]"
2026-06-28,Russian Fishing 4,"5,000,000 .. 10,000,000",0,0,0,39598,33887,"[""Fishing"", ""Multiplayer"", ""Free to Play"", ""Simulation"", ""Nature""]"
2026-06-28,Valheim,"10,000,000 .. 20,000,000",999,1999,50,471451,28377,"[""Open World Survival Craft"", ""Survival"", ""Online Co-Op"", ""Open World"", ""Multiplayer""]"
2026-06-28,Brawlhalla,"20,000,000 .. 50,000,000",0,0,0,314809,71647,"[""Free to Play"", ""Multiplayer"", ""Fighting"", ""2D Fighter"", ""2D Platformer""]"
2026-06-28,Satisfactory,"10,000,000 .. 20,000,000",2799,3999,30,225479,6585,"[""Base-Building"", ""Automation"", ""Open World"", ""Multiplayer"", ""Crafting""]"
2026-06-28,Eternal Return,"5,000,000 .. 10,000,000",0,0,0,51694,13352,"[""Free to Play"", ""Anime"", ""Sexual Content"", ""Multiplayer"", ""MOBA""]"
2026-06-28,No Man's Sky,"5,000,000 .. 10,000,000",5999,5999,0,293332,59526,"[""Open World"", ""Open World Survival Craft"", ""Space"", ""Exploration"", ""Sci-fi""]"
2026-06-28,ARK: Survival Ascended,"2,000,000 .. 5,000,000",1124,4499,75,44880,31115,"[""Early Access"", ""Survival"", ""Open World"", ""Multiplayer"", ""Dinosaurs""]"
2026-06-28,Fallout 4,"10,000,000 .. 20,000,000",799,1999,60,326054,66233,"[""Open World"", ""Post-apocalyptic"", ""Singleplayer"", ""Exploration"", ""RPG""]"
2026-06-28,V Rising,"5,000,000 .. 10,000,000",1574,3499,55,106197,13243,"[""Survival"", ""Open World"", ""Base-Building"", ""Vampire"", ""Multiplayer""]"
2026-06-28,Enshrouded,"2,000,000 .. 5,000,000",2399,2999,20,67486,10594,"[""Open World"", ""Survival"", ""Base-Building"", ""Multiplayer"", ""Online Co-Op""]"
2026-06-28,Unturned,"50,000,000 .. 100,000,000",0,0,0,506516,48852,"[""Free to Play"", ""Survival"", ""Zombies"", ""Multiplayer"", ""Open World""]"
2026-06-28,Tom Clancy’s The Division 2,"1,000,000 .. 2,000,000",749,2999,75,17029,5339,"[""Looter Shooter"", ""Open World"", ""Third-Person Shooter"", ""Multiplayer"", ""Singleplayer""]"
2026-06-28,Squad,"2,000,000 .. 5,000,000",1999,3999,50,175088,35463,"[""Military"", ""Realistic"", ""FPS"", ""Multiplayer"", ""Tactical""]"
2026-06-28,Fallout 76,"2,000,000 .. 5,000,000",999,3999,75,89334,33215,"[""Open World"", ""Multiplayer"", ""Post-apocalyptic"", ""Dark Comedy"", ""RPG""]"
2026-06-28,SCUM,"5,000,000 .. 10,000,000",4499,4499,0,83704,28411,"[""Survival"", ""Open World Survival Craft"", ""Multiplayer"", ""Open World"", ""Zombies""]"
2026-06-28,Albion Online,"2,000,000 .. 5,000,000",0,0,0,65583,17491,"[""Free to Play"", ""MMORPG"", ""Open World"", ""Massively Multiplayer"", ""Sandbox""]"
2026-06-28,Risk of Rain 2,"5,000,000 .. 10,000,000",824,2499,67,293127,20450,"[""Third-Person Shooter"", ""Action Roguelike"", ""Multiplayer"", ""Co-op"", ""Action""]"
2026-06-28,Sultan's Game,"1,000,000 .. 2,000,000",1999,2499,20,20637,1233,"[""RPG"", ""Simulation"", ""Adventure"", ""Tabletop"", ""Strategy""]"
2026-06-28,Oxygen Not Included,"2,000,000 .. 5,000,000",749,2499,70,124220,4170,"[""Colony Sim"", ""Base-Building"", ""Survival"", ""Resource Management"", ""Building""]"
2026-06-28,Gray Zone Warfare,"2,000,000 .. 5,000,000",2679,3999,33,40235,19083,"[""Early Access"", ""Online Co-Op"", ""Tactical"", ""FPS"", ""Realistic""]"
2026-06-28,Bloons TD 6,"2,000,000 .. 5,000,000",279,1399,80,344269,9691,"[""Tower Defense"", ""Strategy"", ""Multiplayer"", ""Singleplayer"", ""Online Co-Op""]"
2026-06-28,The Planet Crafter,"1,000,000 .. 2,000,000",2399,2399,0,52168,2148,"[""Open World Survival Craft"", ""Base-Building"", ""Survival"", ""Online Co-Op"", ""Co-op""]"
2026-06-28,Counter-Strike,"10,000,000 .. 20,000,000",199,999,80,243818,6427,"[""Action"", ""FPS"", ""Multiplayer"", ""Shooter"", ""Classic""]"
2026-06-28,Brotato,"2,000,000 .. 5,000,000",299,499,40,94525,3276,"[""Rogue-like"", ""Singleplayer"", ""Action Roguelike"", ""Bullet Hell"", ""Sci-fi""]"
2026-06-28,Hunt: Showdown 1896,"10,000,000 .. 20,000,000",1199,2999,60,181110,67110,"[""Open World"", ""Extraction Shooter"", ""Multiplayer"", ""Atmospheric"", ""Tactical""]"
2026-06-28,Counter-Strike: Source,"10,000,000 .. 20,000,000",199,999,80,175426,6808,"[""Shooter"", ""FPS"", ""Action"", ""Multiplayer"", ""Team-Based""]"
2026-06-28,The Isle,"500,000 .. 1,000,000",1339,1999,33,77185,17619,"[""Dinosaurs"", ""Survival"", ""Open World"", ""Multiplayer"", ""Simulation""]"
2026-06-28,Conan Exiles Enhanced,"5,000,000 .. 10,000,000",2999,3999,25,84575,22890,"[""Survival"", ""Open World"", ""Nudity"", ""Building"", ""Open World Survival Craft""]"
2026-06-28,Kenshi,"2,000,000 .. 5,000,000",1199,2999,60,93712,4423,"[""Open World"", ""Sandbox"", ""RPG"", ""Survival"", ""Strategy""]"
2026-06-28,Deep Rock Galactic,"5,000,000 .. 10,000,000",899,2999,70,333587,9413,"[""Dwarf"", ""Co-op"", ""PvE"", ""FPS"", ""Procedural Generation""]"
